Thu Jan 19 17:48:17 2023    profile.dat

         19705733 function calls (16881799 primitive calls) in 2162.912 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    11978    0.013    0.000    0.040    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\typing.py:848(__subclasscheck__)
    11774    0.006    0.000    0.016    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\abc.py:121(__subclasscheck__)
    11774    0.008    0.000    0.009    0.000 {built-in method _abc._abc_subclasscheck}
    11754    0.012    0.000    0.051    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\typing.py:719(__instancecheck__)
    11646    0.006    0.000    0.006    0.000 {method 'update' of 'dict' objects}
    11536    0.004    0.000    0.004    0.000 {method 'keys' of 'collections.OrderedDict' objects}
    11496    0.029    0.000    0.029    0.000 {method 'match' of 're.Pattern' objects}
    11216    0.010    0.000    0.010    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\datasets\formatting\__init__.py:108(get_format_type_from_alias)
    11211    0.054    0.000    0.140    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\datasets\formatting\__init__.py:116(get_formatter)
    11206    0.111    0.000    3.265    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\datasets\arrow_dataset.py:2573(_getitem)
    11206    0.070    0.000    3.335    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\datasets\arrow_dataset.py:2599(__getitem__)
    11206    0.049    0.000    0.739    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\datasets\formatting\formatting.py:80(_query_table)
    11206    0.017    0.000    1.965    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\datasets\formatting\formatting.py:404(__call__)
    11206    0.009    0.000    0.011    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\datasets\formatting\formatting.py:547(key_to_query_type)
    11206    0.070    0.000    0.851    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\datasets\formatting\formatting.py:557(query_table)
    11206    0.077    0.000    2.151    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\datasets\formatting\formatting.py:597(format_table)
    11199    0.206    0.000    0.683    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\datasets\table.py:127(fast_slice)
    11199    0.013    0.000    0.015    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\datasets\formatting\formatting.py:528(_check_valid_index_key)
    11199    1.460    0.000    1.460    0.000 {method 'to_pydict' of 'pyarrow.lib.Table' objects}
    11199    0.118    0.000    0.118    0.000 {pyarrow.lib.from_batches}
    11198    0.041    0.000    0.257    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\datasets\features\features.py:1835(<dictcomp>)
    11198    0.020    0.000    0.020    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\datasets\features\features.py:1840(<dictcomp>)
    11198    0.049    0.000    0.329    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\datasets\features\features.py:1821(decode_example)
    11198    0.017    0.000    0.017    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\datasets\formatting\formatting.py:128(<dictcomp>)
    11198    0.035    0.000    0.056    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\datasets\formatting\formatting.py:126(_unnest)
    11198    0.031    0.000    1.512    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\datasets\formatting\formatting.py:143(extract_row)
    11198    0.027    0.000    0.356    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\datasets\formatting\formatting.py:224(decode_row)
    11198    0.041    0.000    1.910    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\datasets\formatting\formatting.py:438(format_row)
    11198    0.070    0.000    0.143    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\transformers\tokenization_utils_base.py:3315(_pad)
    11104    0.030    0.000    0.030    0.000 {method 'token_to_id' of 'tokenizers.Tokenizer' objects}
    11104    0.015    0.000    0.062    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\transformers\tokenization_utils_fast.py:235(convert_tokens_to_ids)
    11104    0.014    0.000    0.044    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\transformers\tokenization_utils_fast.py:257(_convert_token_to_id_with_added_voc)
    11104    0.020    0.000    0.092    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\transformers\tokenization_utils_base.py:1153(pad_token_id)
    10010    0.004    0.000    0.004    0.000 {method 'rpartition' of 'str' objects}
     9814    0.006    0.000    0.006    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\transformers\utils\generic.py:210(<genexpr>)
     9814    0.033    0.000    0.036    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\transformers\utils\generic.py:275(__setattr__)
     9634    0.008    0.000    0.011    0.000 <frozen importlib._bootstrap>:398(parent)
   9609/3    0.014    0.000    0.066    0.022 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\wandb\sdk\data_types\base_types\media.py:295(_numpy_arrays_to_lists)
     9098    0.003    0.000    0.003    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\yaml\reader.py:87(peek)
     8798    0.016    0.000    0.030    0.000 {built-in method builtins.max}
     8747    0.004    0.000    0.004    0.000 {built-in method builtins.divmod}
     8480    0.002    0.000    0.002    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\inspect.py:2552(default)
     8463    0.011    0.000    0.017    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\inspect.py:514(_is_wrapper)
     8463    0.043    0.000    0.075    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\inspect.py:494(unwrap)
     8463    0.228    0.000    0.535    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\inspect.py:2152(_signature_from_function)
