Wed Jan 18 11:49:05 2023    profile.dat

         3124711 function calls (3050196 primitive calls) in 1.093 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    13660    0.002    0.000    0.004    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/inspect.py:823(<genexpr>)
     8348    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:404(parent)
 2113/272    0.002    0.000    0.010    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/antlr4/atn/LexerATNSimulator.py:320(closure)
  447/349    0.002    0.000    0.076    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/omegaconf/basecontainer.py:524(_set_item_impl)
        1    0.002    0.002    0.206    0.206 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/wandb/data_types.py:612(to_json)
     2138    0.002    0.000    0.007    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/numpy/core/fromnumeric.py:38(_wrapit)
    34416    0.002    0.000    0.002    0.000 {built-in method builtins.id}
35084/34793    0.002    0.000    0.003    0.000 {built-in method builtins.len}
     3042    0.002    0.000    0.006    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/omegaconf/_utils.py:567(_is_interpolation)
      193    0.002    0.000    0.003    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/yaml/emitter.py:626(analyze_scalar)
       17    0.002    0.000    0.002    0.000 {method 'readline' of '_io.BufferedReader' objects}
    10608    0.002    0.000    0.003    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/inspect.py:820(<genexpr>)
    33397    0.002    0.000    0.002    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/wandb/sdk/data_types/_dtypes.py:194(__init__)
        1    0.002    0.002    0.026    0.026 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/wandb/data_types.py:900(add_computed_columns)
      283    0.002    0.000    0.021    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/antlr4/atn/LexerATNSimulator.py:137(execATN)
     5578    0.002    0.000    0.003    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/copy.py:243(_keep_alive)
        1    0.002    0.002    0.002    0.002 {method 'to_pylist' of 'pyarrow.lib.ChunkedArray' objects}
      869    0.002    0.000    0.017    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/omegaconf/nodes.py:24(__init__)
        5    0.002    0.000    0.114    0.023 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/wandb/data_types.py:346(cast)
    33727    0.002    0.000    0.002    0.000 {built-in method builtins.callable}
     7667    0.002    0.000    0.003    0.000 {method 'join' of 'str' objects}
     3781    0.002    0.000    0.006    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/package/package_importer.py:684(_patched_getfile)
     3781    0.002    0.000    0.003    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/inspect.py:773(getfile)
        2    0.002    0.001    0.002    0.001 {pyarrow.lib.memory_map}
     2216    0.002    0.000    0.005    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/antlr4/atn/LexerATNSimulator.py:364(getEpsilonTarget)
7686/2626    0.002    0.000    0.003    0.000 {built-in method builtins.hash}
     3497    0.002    0.000    0.002    0.000 {method '__reduce_ex__' of 'object' objects}
      901    0.001    0.000    0.011    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/omegaconf/dictconfig.py:168(_validate_set)
2397/2099    0.001    0.000    0.003    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/omegaconf/base.py:201(_get_flag_no_cache)
       21    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.001    0.001    0.001    0.001 {method 'sort' of 'numpy.ndarray' objects}
     2840    0.001    0.000    0.001    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/antlr4/atn/ATNConfig.py:29(__init__)
     2113    0.001    0.000    0.003    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/antlr4/atn/ATNConfig.py:119(__init__)
     3309    0.001    0.000    0.017    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/genericpath.py:16(exists)
   349/37    0.001    0.000    0.069    0.002 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/omegaconf/dictconfig.py:113(__deepcopy__)
  485/375    0.001    0.000    0.060    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/omegaconf/dictconfig.py:62(__init__)
       44    0.001    0.000    0.002    0.000 {method 'read' of '_io.TextIOWrapper' objects}
